Key,zh-CN,en-US,ja-JP,pt-BR,id-ID,,,,
1029,清除级别{0}<color=#E7534B> 全部提取</color>,Clear Level{0}<color=#E7534B> Withdraw all</color>,,Limpar Nível{0}<color=#E7534B> Retirar tudo</color>,Hapus Level{0}<color=#E7534B> Tarik semua</color>,,,,
1030,<color=#EB2F2F>{0}</color> 通过了这一关（{1} 次尝试），<color=#EB2F2F>{2}</color>,"<color=#EB2F2F>{0}</color> passed this level ({1} attempt), withdrew <color=#EB2F2F>{2}</color>",,"<color=#EB2F2F>{0}</color> passou neste nível ({1} tentativa), desistiu <color=#EB2F2F>{2}</color>","<color=#EB2F2F>{0}</color> berhasil melewati level ini ({1} percobaan), mengundurkan diri <color=#EB2F2F>{2}</color>",,,,
1031,恭喜<color=#EB2F2F>{0}成功提现{1}</color>,Congrats <color=#EB2F2F>{0} successfully withdrew {1}</color>,,Parabéns <color=#EB2F2F>{0} realizou o saque com sucesso {1}</color>,Selamat <color=#EB2F2F>{0} berhasil menarik dana {1}</color>,,,,
1032,广告正在加载，请稍候,"Ad is loading, please wait",,"O anúncio está carregando, aguarde.","Iklan sedang dimuat, mohon tunggu.",,,,
1033,级别 {0} ({1}/{2}),Level {0} ({1}/{2}),,Nível {0} ({1}/{2}),Level {0} ({1}/{2}),,,,
1034,没有可撤销的操作步骤,No operation steps to undo,,Não há etapas a serem desfeitas.,Tidak ada langkah operasi yang perlu dibatalkan.,,,,
2001,信息,Information,,Informação,Informasi,,,,
2002,提款方式,Withdrawal method,,Método de retirada,Metode penarikan,,,,
2003,请输入您的姓名,Enter your name,,Digite seu nome,Masukkan nama Anda,,,,
2004,请输入电话号码,Enter phone number,,Digite o número de telefone,Masukkan nomor telepon,,,,
2005,请输入您的电子邮件地址,Enter your email,,Insira seu e-mail,Masukkan email Anda,,,,
2006,确认,CONFIRM,,CONFIRMAR,MENGONFIRMASI,,,,
2007,如果以上提款渠道均不可用，请留下您的联系方式，以便我们与您联系并处理提款事宜。,"If none of our supported withdrawal channels areavailable, please enter yourcontact information so we canreach you and process thewithdrawal",,"Caso nenhum dos nossos canais de saque esteja disponível, por favor, insira suas informações de contato para que possamos entrar em contato e processar o saque.","Jika tidak ada saluran penarikan yang kami dukung yang tersedia, harap masukkan informasi kontak Anda agar kami dapat menghubungi Anda dan memproses penarikan tersebut.",,,,
2008,电话/电子邮件,Phone/Email,,Telefone/E-mail,Telepon/Email,,,,
2009,立即提现,Withdraw Now,,Retirar agora,Batalkan Sekarang,,,,
2010,重新进入,Re-Enter,,Reentrar,Masuk kembali,,,,
2011,提款,Withdrawal,,Cancelamento,Penarikan,,,,
2012,完成 2 次自动提款验证后，高价值提款专员将直接为您提取 200-1000 美元。,"After completing 2 automatic withdrawalverifications, a high-value withdrawal officer willdirectly withdraw $200-$1,000 for you.",,"Após concluir 2 verificações automáticas de saque, um agente de saque de alto valor irá sacar diretamente de USR$ 200 a USR$ 1.000 para você.","Setelah menyelesaikan 2 verifikasi penarikan otomatis, petugas penarikan bernilai tinggi akan langsung menarik dana sebesar RP200-RP1.000 untuk Anda.",,,,
2013,提款完成,Withdrawal completed,,Retirada concluída,Penarikan dana selesai,,,,
2014,即将退出,About to withdraw,,Prestes a desistir,Akan segera mundur,,,,
2015,完成第二关即可全部提取,Clear Level 2 to withdraw all,,Conclua o Nível 2 para retirar todos os fundos.,Selesaikan Level 2 untuk menarik semua dana.,,,,
2016,200-1000美元,"$200-$1,000",,R$ 200 - R$ 1.000,RP200-RP1.000,,,,
2017,通关第8关后即可提现,Withdraw after clearing Level 8,,Retire-se após concluir o Nível 8.,Mundur setelah menyelesaikan Level 8,,,,
2018,0.4美元,`$0.4,,"`R$0,4","RP0,4",,,,
2019,0.6美元,`$0.6,,"`R$0,6","RP0,6",,,,
2020,继续,Continue,,Continuar,Melanjutkan,,,,
2021,钻石,Diamond,,Diamante,Berlian,,,,
2022,1 = 1 美元,1 = $1,,1 = R$1,1 = RP1,,,,
2023,提款选项,Withdrawal Options,,Opções de saque,Opsi Penarikan,,,,
2024,500美元,`$500,,US$500 ,$500 ,,,,
2025,"1,000 美元","`$1,000",,US$1.00 ,$1.00 ,,,,
2026,1500美元,"`$1,500",,US$1.50 ,$1.50 ,,,,
2027,"2,000 美元","`$2,000",,US$2.00 ,$2.00 ,,,,
2028,${0} 提款条件：,${0} Withdrawal Conditions:,,Condições de saque:,RP{0} Ketentuan Penarikan:,,,,
2029,{0}/{1},{0}/{1},,{0}/{1},{0}/{1},,,,
2030,账户余额已达到 ${0} 可提现，还差 ${1},"Balance reaches ${0} to withdraw, short of ${1}",,"O saldo chega a R${0} para saque, faltando R${1}","Saldo mencapai RP{0} untuk penarikan, kurang RP{1}",,,,
2031,轻敲一个瓶子，将液体倒入另一个瓶子。,Tap a bottle to pour into another bottle,,Bata levemente em uma garrafa para despejar o conteúdo em outra garrafa.,Ketuk botol untuk menuangkan isinya ke botol lain.,,,,
2032,将瓶子装满相同颜色的液体，以完成订单,Fill bottles with the same color to complete orders,,Encha as garrafas com a mesma cor para completar os pedidos.,Isi botol dengan warna yang sama untuk menyelesaikan pesanan.,,,,
2033,只能倒入颜色匹配的瓶盖或空瓶中。,Only pour into a matching top-color or empty bottle,,Despeje apenas em uma garrafa da mesma cor ou em uma garrafa vazia.,Tuangkan hanya ke dalam botol dengan tutup berwarna senada atau botol kosong.,,,,
2034,清除一级限制，全部提取,Clear Level 1 withdraw all,,"Concluir o Nível 1, retirar tudo","Selesaikan Level 1, tarik semua dana.",,,,
2035,清除二级提取所有,Clear Level 2 withdraw all,,"Concluir o Nível 2, retirar tudo","Selesaikan Level 2, tarik semua dana.",,,,
2036,通关第8关，全部提取,Clear Level 8 withdraw all,,Concluir o nível 8 e retirar tudo.,"Selesaikan Level 8, tarik semua dana.",,,,
2037,恭喜你通过第 {0} 关！,Congratulations on clearing Level {0},,Parabéns por concluir o Nível {0},Selamat atas keberhasilanmu menyelesaikan Level {0},,,,
2038,——经官方核实，真实现金提款——,"--officially verified, real cash withdrawals--",,"--Saques em dinheiro real, oficialmente verificados--",--Penarikan tunai nyata yang diverifikasi secara resmi---,,,,
2039,恭喜你通过第 {0} 关！,Congratulations on clearing Level {0},,Parabéns por concluir o Nível {0},Selamat atas keberhasilanmu menyelesaikan Level {0},,,,
2040,开始提款,Initiating your withdrawal,,Iniciando seu saque,Memulai penarikan Anda,,,,
2041,现金提取,CASHWITHDRAW,,SAQUE EM DINHEIRO,PENARIKAN TUNAI,,,,
2042,奖励 1,Reward 1,,Recompensa 1,Hadiah 1,,,,
2043,最低取款金额增加,Minimum withdrawal amount increased,,O valor mínimo para saque foi aumentado.,Jumlah penarikan minimum ditingkatkan,,,,
2044,现金提取,CASH WITHDRAW,,SAQUE EM DINHEIRO,PENARIKAN TUNAI,,,,
2045,1000美元,"$1,000 ",,$1.00 ,$1.00 ,,,,
2046,奖励 2,Reward 2,,Recompensa 2,Hadiah 2,,,,
2047,用透明瓶子赚钱,Clear bottles to earn cash,,Garrafas transparentes para ganhar dinheiro,Botol transparan untuk mendapatkan uang,,,,
2048,奖励 3,Reward 3,,Recompensa 3,Hadiah 3,,,,
2049,解锁全新奖励,Unlock new rewards,,Desbloqueie novas recompensas,Buka hadiah baru,,,,
2050,观看视频赚取钻石,watch videos to earn diamonds,,Assista a vídeos para ganhar diamantes,Tonton video untuk mendapatkan berlian,,,,
2051,当前的,Current,,Atual,Saat ini,,,,
2052,验证完成,Verification completed,,Verificação concluída,Verifikasi selesai,,,,
2053,提现：${0},Withdrawal: ${0},,Saque: R${0},Penarikan: RP{0},,,,
2054,确认账户信息,Confirm Account Information,,Confirme as informações da conta,Konfirmasi Informasi Akun,,,,
2055,已转账至银行,Transferred to bank,,Transferido para o banco,Ditransfer ke bank,,,,
2056,资金已转入平台,Cash has been transferred to the platform,,O dinheiro foi transferido para a plataforma.,Uang tunai telah ditransfer ke platform.,,,,
2057,"现金余额达到 3,000 美元即可入账，仅剩 0 美元","Cash balance reaches $3,000 to be credited, only ${0} remaining",,"O saldo em caixa atingiu USR$ 3.000, restando apenas USR$ {0}.","Saldo kas mencapai RP3.000 untuk dikreditkan, hanya tersisa RP{0}",,,,
2058,提款成功,Withdrawal successful,,Retirada concluída com sucesso.,Penarikan dana berhasil,,,,
2059,提取,Withdraw,,Retirar,Menarik,,,,
2060,恭喜！您是第六位幸运用户！领取您的巨额现金奖励：${0},Congrats! You're the 6th lucky user! Claim your huge cash reward: ${0},,Parabéns! Você é o 6º usuário sortudo! Reivindique sua enorme recompensa em dinheiro: R${0},Selamat! Anda adalah pengguna beruntung ke-6! Klaim hadiah uang tunai besar Anda: RP{0},,,,
2061,立即领取,Claim Now,,Reivindique agora,Klaim Sekarang,,,,
2062,这是您的<color=#FFEB3B>#{0}</color>提款,This is your <color=#FFEB3B>#{0}</color> withdrawal,,Este é o seu saque de <color=#FFEB3B>#{0}</color>,Ini adalah penarikan Anda <color=#FFEB3B>#{0}</color>,,,,
2063,0.60美元,$0.60 ,,"R$ 0,60","RP0,60",,,,
2064,提款审核：已批准,Withdrawal review: Approved,,Revisão de retirada: Aprovada,Peninjauan penarikan: Disetujui,,,,
2065,实名认证：已验证,Real-name verification: Verified,,Verificação de nome real: Verificado,Verifikasi nama asli: Terverifikasi,,,,
2066,账户验证：已完成,Account verification: Completed,,Verificação da conta: Concluída,Verifikasi akun: Selesai,,,,
2067,您的提现申请已提交。由于申请量较大，资金将在审核通过后10天内到账。,"Your withdrawal request has been submitted. Due to high demand, funds will be credited within 10 days of approval.",,"Seu pedido de saque foi enviado. Devido à alta demanda, os fundos serão creditados em até 10 dias após a aprovação.","Permohonan penarikan Anda telah diajukan. Karena tingginya permintaan, dana akan dikreditkan dalam waktu 10 hari setelah persetujuan.",,,,
2068,持续赚钱,Keep Earning,,Continue ganhando,Teruslah Menghasilkan,,,,
2069,3000美元,"$3,000 ",,$3.00 ,$3.00 ,,,,
2070,到达时间：{0},Arrival Time: {0},,Hora de chegada: {0},Waktu Kedatangan: {0},,,,
2071,必需：官方验证,Required: Official Verification,,Obrigatório: Verificação Oficial,Diperlukan: Verifikasi Resmi,,,,
2072,检查验证进度,Check Verification Progress,,Verifique o progresso da verificação,Periksa Kemajuan Verifikasi,,,,
2073,最后一步，尽快套现。,"Final step, cash out soon",,"Último passo, resgate em breve.","Langkah terakhir, segera cairkan dana.",,,,
2074,您的提现进度领先于 99% 的用户，很快就能提现。,"Your withdrawal progress is ahead of 99% of users, cash out soon",,"Seu processo de saque está à frente de 99% dos usuários, saque em breve!","Proses penarikan Anda lebih cepat daripada 99% pengguna lain, segera lakukan penarikan dana.",,,,
2075,用户验证：已签到 {0} 天,User Verification: Checked in for {0} days,,Verificação do usuário: Fez check-in por {0} dias,Verifikasi Pengguna: Check-in selama {0} hari,,,,
2076,尽快套现,Cash out soon,,Saque em breve,Segera cairkan uangnya,,,,
2077,幸运奖励,Lucky Reward,,Recompensa da Sorte,Hadiah Keberuntungan,,,,
2078,仅需 0 美元,Only ${0},,Apenas R${0},Hanya RP{0},,,,
2079,幸运转盘,LUCKY SPIN,,GIRO DA SORTE,PUTARAN KEBERUNTUNGAN,,,,
2080,现金,Cash,,Dinheiro,Uang tunai,,,,
2081,物品,Item,,Item,Barang,,,,
2082,挑战成功,Challenge Success,,Desafio bem-sucedido,Tantangan Kesuksesan,,,,
2083,全部领取,Claim All,,Reivindicar tudo,Klaim Semua,,,,
2084,目标 {0},Goal {0},,Objetivo {0},Tujuan {0},,,,
2085,平衡,Balance,,Equilíbrio,Keseimbangan,,,,
2086,清除等级 {0} 提取所有现金,Clear Level {0} withdraw all cash,,Limpar nível {0} e sacar todo o dinheiro,Selesaikan Level {0} tarik semua uang tunai,,,,
2087,等级统计（{0}）,Level Stats ({0}),,Estatísticas de nível ({0}),Statistik Level ({0}),,,,
2088,今日竣工,Today's Completions,,Conclusões de hoje,Penyelesaian Hari Ini,,,,
2089,平均尝试次数,Average Attempts,,Tentativas médias,Rata-rata Upaya,,,,
2090,平均提款金额,Average Withdrawal Amount,,Valor médio de saque,Jumlah Penarikan Rata-Rata,,,,
2091,余额达到 ${0} 即可全部提现,Balance reaches ${0} withdraw allcash,,"O saldo chega a R${0}, saque total em dinheiro.","Saldo mencapai RP{0}, tarik semua uang tunai.",,,,
2092,已入住{0}天，提取所有现金。每天清除10个关卡，今日入住未完成。,"Checked in for {0} days, withdraw all cashClear 10 levels each day, today's check-incompleted",,"Check-in realizado por {0} dias, saque todo o dinheiro. Limpe 10 níveis por dia, check-in de hoje concluído.","Check-in selama {0} hari, tarik semua uang tunai. Selesaikan 10 level setiap hari, check-in hari ini tidak selesai.",,,,
2093,"清除 {0} 层级，提取

全部","Clear {0} more levels withdraw
all",,"Limpar {0} mais níveis retirar
tudo","Hapus {0} level lagi tarik
semua",,,,
2094,"余额达到 0 美元，全部提取

现金","Balance reaches ${0} withdraw all
cash",,"Saldo atinge R${0}, saque todo o valor
dinheiro","Saldo mencapai RP{0} tarik semua
uang tunai",,,,
2095,第 8 关 第 {0}/{1} 轮,Level 8 Round {0}/{1},,Nível 8 Rodada {0}/{1},Level 8 Babak {0}/{1},,,,
2096,高级副总裁,SVP,,Vice-presidente sênior,SVP,,,,
2097,赚取 ${0}，额外提现 ${1},Earn ${0} more ${1} withdraw,,Ganhe R${0} e saque R${1},Dapatkan RP{0} lebih banyak penarikan RP{1},,,,
2098,入住 {0} 天后提取所有现金,Check in for {0} more days withdraw all cash,,Faça o check-in por mais {0} dias e saque todo o dinheiro.,Check in selama {0} hari lagi dan tarik semua uang tunai.,,,,
2099,威斯德罗,Withdrow,,Retirar,Penarikan,,,,
2100,赚取 ${0}，提现 ${1},Earn ${0} more withdraw ${1},,Ganhe R${0} e saque R${1},"Dapatkan RP{0} lebih banyak, tarik RP{1}",,,,
2101,级别 {0},LEVEL {0},,NÍVEL {0},TINGKAT {0},,,,
2102,恭喜玩家 <color=#00FF00>{0}</color>成功提款<color=#E60000>S{1}</color>,Congratulations to player <color=#00FF00>{0}</color> forsuccessfully withdrawing <color=#E60000>S{1}</color>,,Parabéns ao jogador<color=#00FF00>{0}</color> por ter retirado com sucesso <color=#E60000>S{1}</color>,Selamat kepada pemain {0} karena berhasil menarik S{1},,,,
2103,入住 {0} 天后提取所有现金,Check in for {0} moredayswithdraw all cash,,Faça o check-in por mais {0} dias e retire todo o dinheiro.,"Check in selama {0} hari lagi, tarik semua uang tunai",,,,
2104,提款历史,Withdrawal History,,Histórico de retiradas,Riwayat Penarikan,,,,
2105,等级 {0} 现金奖励,Level {0} Cash Reward,,Recompensa em dinheiro de nível {0},Hadiah Uang Tunai Level {0},,,,
2106,加工...,Processing...,,Processamento...,Pengolahan...,,,,
2107,正在处理中，请稍候审核,"Processing, please wait for review",,"Processando, aguarde a revisão.","Sedang diproses, mohon tunggu hingga ditinjau.",,,,
2108,数据显示,DATA SHOW,,EXIBIR DADOS,TAMPILAN DATA,,,,
2109,"96.12% 的用户在 15 分钟内达成目标，并提取了全部 3,000 美元。","<color=#FF2F00>96.12%</color> of users reached the goal within <color=#FF2F00>15 minutes</color>, withdrawn all<color=#FF2F00>$3,000</color>",,"<color=#FF2F00>96,12%</color> dos usuários atingiram a meta em <color=#FF2F00>15 minutos</color>, sacando todos os <color=#FF2F00>R$3.000</color>","<color=#FF2F00>96,12%</color> pengguna mencapai tujuan dalam waktu <color=#FF2F00>15 menit</color>, menarik seluruh <color=#FF2F00>RP3.000</color>",,,,
2110,分钟,Minute,,Minuto,Menit,,,,
2111,威康奖金,Weicome Bonus,,Bônus Weicome,Bonus Selamat Datang,,,,
2112,将任意一种颜色的液体倒入一个瓶子中，即可制成瓶装奶茶。,Fill 1 bottle with any single color to turn the milk tea into a bottle.,,Encha uma garrafa com qualquer cor para transformar o chá com leite em uma garrafa.,Isi 1 botol dengan satu warna saja untuk mengubah teh susu menjadi minuman dalam botol.,,,,
2113,将所需数量的瓶子装满任意一种颜色的奶茶，即可制成一瓶奶茶。,Fill the required number of bottles with any single color to turn the milk tea into a bottle.,,Encha o número necessário de garrafas com uma única cor para transformar o chá com leite em uma garrafa.,Isi botol-botol yang dibutuhkan dengan satu warna saja untuk mengubah teh susu menjadi minuman dalam botol.,,,,
2114,将所需数量的瓶子装满相应颜色的奶茶，即可制成一瓶奶茶。,Fill the required number of bottleswith the matching colors to turn themilk tea into a bottle.,,Encha o número necessário de garrafas com as cores correspondentes para transformar o chá com leite em uma garrafa.,Isi botol-botol dengan warna yang sesuai untuk mengubah teh susu menjadi minuman dalam botol.,,,,
2115,倒掉最上面一层，就能看到里面的未知颜色。,Pour out the top layer to reveal the unknown color.,,Despeje a camada superior para revelar a cor desconhecida.,Tuangkan lapisan atas untuk mengungkap warna yang tidak diketahui.,,,,
2116,全新游戏玩法,New Gameplay,,Nova jogabilidade,Gameplay Baru,,,,
2117,"通关即可提取全部现金，每位玩家可提取 <color=#F47823>$200-$1,000</color>","Clear levels to withdraw all cash, each player can withdraw <color=#F47823>$200-$1,000</color>",,Complete os níveis para sacar todo o dinheiro; cada jogador pode sacar de <color=#F47823>R$200 a R$1.000</color>,"Selesaikan level untuk menarik semua uang tunai, setiap pemain dapat menarik <color=#F47823>RP200-RP1,000</color>",,,,
2118,轻敲一个瓶子，将液体倒入另一个瓶子。,Tap a bottle to pour into anotherbottle,,Bata levemente em uma garrafa para despejar o conteúdo em outra.,Ketuk botol untuk menuangkan isinya ke botol lain.,,,,
2119,将瓶子装满相同颜色的液体，以完成订单,Fill bottles with the same color tocomplete orders,,Encha as garrafas com a mesma cor para completar os pedidos.,Isi botol dengan warna yang sama untuk menyelesaikan pesanan.,,,,
2120,只能倒入颜色匹配的上衣或空瓶中。,Only pour into a matching top-coloror empty bottle,,Despeje apenas em uma garrafa vazia ou com tampa de cor correspondente.,Tuangkan hanya ke dalam botol kosong atau botol dengan tutup berwarna senada.,,,,
2121,设置,Settings,,Configurações,Pengaturan,,,,
2122,玩家_KI,Player_KI,,Jogador_KI,Pemain_KI,,,,
2123,ID:{0},ID:{0},,ID:{0},ID:{0},,,,
2124,LV:{0},LV:{0},,LV:{0},LV:{0},,,,
2125,用户级别,User Level,,Nível do usuário,Tingkat Pengguna,,,,
2126,音乐,Music,,Música,Musik,,,,
2127,振动,Vibration,,Vibração,Getaran,,,,
2128,当前级别：{0},Current level: {0},,Nível atual: {0},Level saat ini: {0},,,,
2129,通关关卡越多，升级速度越快。,More levels cleared faster leveling up,,"Mais níveis concluídos, subindo de nível mais rapidamente.","Semakin banyak level yang diselesaikan, semakin cepat naik level.",,,,
2130,重启,Restart,,Reiniciar,Mulai ulang,,,,
2131,你想重新开始这一关吗？,Do you want to restart the level?,,Deseja reiniciar a fase?,Apakah Anda ingin memulai ulang level?,,,,
2132,清除第 1 关 <color=#E7534B>withdrcw all</color>,Clear Level 1 <color=#E7534B>withdrcw all</color>,,Limpar Nível 1 <color=#E7534B>withdrcw all</color>,Selesaikan Level 1 <color=#E7534B>withdrcw all</color>,,,,
2133,清除第 2 关 <color=#E7534B>withdrcw all</color>,Clear Level 2 <color=#E7534B>withdrcw all</color>,,Limpar Nível 2 <color=#E7534B>withdrcw all</color>,Clear Level 2 <color=#E7534B>withdrcw all</color>,,,,
2134,通关第 8 关 <color=#E7534B>withdrcw all</color>,Clear Level 8 <color=#E7534B>withdrcw all</color>,,Limpar Nível 8 <color=#E7534B>withdrcw all</color>,Selesaikan Level 8 <color=#E7534B>withdrcw all</color>,,,,
2135,消除,Remove,,Remover,Menghapus,,,,
2136,刷新,Refresh,,Atualizar,Menyegarkan,,,,
2137,旋转,Spin,,Rodar,Putaran,,,,
2138,幸运转盘,Lucky Spin,,Giro da Sorte,Putaran Keberuntungan,,,,
2139,你想恢复关卡吗？,Do you want to restant the level?,,Deseja reiniciar o nível?,Apakah Anda ingin mengatur ulang levelnya?,,,,
2140,提款历史,Withdrawal  History,,Histórico de retiradas,Riwayat Penarikan,,,,
2141,通关更多关卡，升级更快！,More levels cleared faster leveling up!,,Mais níveis concluídos e subida de nível mais rápida!,"Semakin banyak level yang diselesaikan, semakin cepat naik level!",,,,
2142,宝石不够。,Not enough gems,,Não há gemas suficientes,Permata tidak cukup,,,,
2143,请选择提款等级,Please select a withdrawal tier,,"Por favor, selecione um nível de saque.",Silakan pilih tingkat penarikan,,,,
2144,请输入正确信息,Please enter the correct information.,,"Por favor, insira as informações corretas.",Mohon masukkan informasi yang benar.,,,,
2145,欢迎奖金,Welcome Bonus,,Bônus de boas-vindas,Bonus Selamat Datang,,,,
2146,宣称,Claim,,Alegar,Mengeklaim,,,,
2147,没有空余空间，你需要先清理出一个,"No empty space, you need toclear one first",,Memória cheia. Apague algo para liberar espaço,"Tidak ada ruang kosong, Anda harus membersihkannya terlebih dahulu",,,,
2148,观看 {0} 次广告后提取所有现金,Watch {0} ads to withdraw all cash,,Watch {0} ads to withdraw all cash,Watch {0} ads to withdraw all cash,,,,
2149,任务完成,Task completed,,Tarefa concluída,Tugas selesai,,,,
3001,游戏名字占位符,Game name placeholder,,Nome do jogo (espaço reservado),Nama game (placeholder),,,,
3002,欢迎您,Welcome,,Bem-vindo,Selamat datang,,,,
3003,玩游戏，完成任务赚取金钱,Play games and complete tasks to earn money,,Jogue e complete tarefas para ganhar dinheiro.,Mainkan game dan selesaikan tugas untuk mendapatkan uang.,,,,
3004,"当金额收集到一定数量时，可
提取到payply","Once a certain amount of money has been collected, the payment can be withdrawn.",,"Assim que uma determinada quantia de dinheiro for arrecadada, o pagamento poderá ser sacado.","Setelah sejumlah uang tertentu terkumpul, pembayaran dapat ditarik.",,,,
3005,"等不急？别怕，幸运钱包可以
立刻提取，任意金额","Can't wait? Don't worry, you can withdraw any amount instantly from your Lucky Wallet.",,"Não consegue esperar? Não se preocupe, você pode sacar qualquer quantia instantaneamente da sua Lucky Wallet.","Tidak sabar? Jangan khawatir, Anda dapat menarik sejumlah uang secara instan dari Dompet Keberuntungan Anda.",,,,
3006,绑定信息,Binding information,,Informações vinculativas,Informasi pengikat,,,,
3007,绑定paypal,Link PayPal,,Link do PayPal,Tautan PayPal,,,,
3008,输入您的PAYPAL账号,Enter your PayPal account,,Insira os dados da sua conta PayPal.,Masukkan akun PayPal Anda,,,,
3009,确定,Sure,,Claro,Tentu,,,,
3010,正确的账户才能提现,Only the correct account can withdraw funds.,,Somente a conta correta pode efetuar saques.,Hanya akun yang benar yang dapat melakukan penarikan dana.,,,,
3011,取现记录,Cash withdrawal records,,Registros de saques em dinheiro,Catatan penarikan tunai,,,,
3012,取现,Cash withdrawal,,Saque em dinheiro,Penarikan tunai,,,,
3013,幸运钱包,Lucky Wallet,,Carteira da Sorte,Dompet Keberuntungan,,,,
3014,随时提现，立刻到账,"Withdraw anytime, instant arrival",,"Saque a qualquer momento, chegada imediata.","Tarik kapan saja, uang tunai langsung tiba",,,,
3015,提取余额,Withdraw balance,,Retirar saldo,Tarik saldo,,,,
3016,正在提取中,Extracting,,Extração,Mengekstraksi,,,,
3017,确认账户信息,Confirm account information,,Confirme as informações da conta.,Konfirmasi informasi akun,,,,
3018,账户信息已确认,Account information has been confirmed.,,As informações da conta foram confirmadas.,Informasi akun telah dikonfirmasi.,,,,
3019,提交审核：进行中,Submission for review: In progress,,Submissão para revisão: Em andamento,Pengajuan untuk ditinjau: Sedang diproses,,,,
3020,提交审核：已经通过,Submitted for review: Approved,,Submetido para revisão: Aprovado,Diajukan untuk ditinjau: Disetujui,,,,
3021,当前状态：排队中,Current status: in queue,,Estado atual: na fila,Status saat ini: dalam antrian,,,,
3022,队列人数>1000人,Queue size > 1000 people,,Tamanho da fila > 1000 pessoas,Ukuran antrian > 1000 orang,,,,
3023,完成任务，立刻打款,Complete the task and make payment immediately.,,Conclua a tarefa e efetue o pagamento imediatamente.,Selesaikan tugas dan lakukan pembayaran segera.,,,,
3024,确定,Sure,,Claro,Tentu,,,,
3025,正在提取中...,Extracting...,,Extraindo...,Mengekstraksi...,,,,
3026,账户金额,Account balance,,Saldo da conta,Saldo rekening,,,,
3027,幸运钱包,Lucky Wallet,,Carteira da Sorte,Dompet Keberuntungan,,,,
3028,金额,Amount,,Quantia,Jumlah,,,,
3029,排队中,In queue,,Na fila,Dalam antrian,,,,
3030,审核中,Under review,,Em análise.,Sedang ditinjau,,,,
